,Unnamed: 0,Map Name,Matchup,patch,Wins,Losses,Games,win_perc,loss_perc,pillar_label
124,421,Vaani Research Station (Void),PvZ,3.8,980,825,1805,0.5429,0.4571,No pillar
125,422,Vaani Research Station (Void),TvZ,3.8,1590,1223,2813,0.5652,0.4348,No pillar
126,423,Whirlwind LE (Void),PvT,3.8,572,533,1105,0.5176,0.4824,Pillar can see natural entrance
127,424,Whirlwind LE (Void),PvZ,3.8,606,667,1273,0.476,0.524,Pillar can see natural entrance
128,425,Whirlwind LE (Void),TvZ,3.8,789,863,1652,0.4776,0.5224,Pillar can see natural entrance
129,16,Abyssal Reef LE,PvT,4.0,2196,1820,4016,0.5468,0.4532,No pillar
130,23,Abyssal Reef LE,PvZ,4.0,1821,2145,3966,0.4592,0.5408,No pillar
131,30,Abyssal Reef LE,TvZ,4.0,2132,2056,4188,0.5091,0.4909,No pillar
132,53,Ascension to Aiur LE,PvT,4.0,2548,2017,4565,0.5582,0.4418,Pillar cannot see natural entrance
133,58,Ascension to Aiur LE,PvZ,4.0,2155,2519,4674,0.4611,0.5389,Pillar cannot see natural entrance
134,63,Ascension to Aiur LE,TvZ,4.0,2136,2372,4508,0.4738,0.5262,Pillar cannot see natural entrance
135,81,Battle on the Boardwalk LE,PvT,4.0,1351,1214,2565,0.5267,0.4733,No pillar
136,83,Battle on the Boardwalk LE,PvZ,4.0,1083,1565,2648,0.409,0.591,No pillar
137,85,Battle on the Boardwalk LE,TvZ,4.0,1328,1521,2849,0.4661,0.5339,No pillar
138,96,Blackpink LE,PvT,4.0,2604,2086,4690,0.5552,0.4448,Pillar can see natural entrance
139,101,Blackpink LE,PvZ,4.0,2247,2602,4849,0.4634,0.5366,Pillar can see natural entrance
140,106,Blackpink LE,TvZ,4.0,2332,2407,4739,0.4921,0.5079,Pillar can see natural entrance
141,132,Catalyst LE,PvT,4.0,2750,2189,4939,0.5568,0.4432,Pillar can see natural entrance
142,137,Catalyst LE,PvZ,4.0,2316,2646,4962,0.4667,0.5333,Pillar can see natural entrance
143,142,Catalyst LE,TvZ,4.0,2652,2434,5086,0.5214,0.4786,Pillar can see natural entrance
144,276,Neon Violet Square LE,PvT,4.0,1980,1572,3552,0.5574,0.4426,No pillar
145,281,Neon Violet Square LE,PvZ,4.0,1703,1960,3663,0.4649,0.5351,No pillar
146,286,Neon Violet Square LE,TvZ,4.0,1726,1782,3508,0.492,0.508,No pillar
147,317,Odyssey LE,PvT,4.0,2513,1872,4385,0.5731,0.4269,Pillar can see natural entrance
148,322,Odyssey LE,PvZ,4.0,2011,2421,4432,0.4537,0.5463,Pillar can see natural entrance
149,327,Odyssey LE,TvZ,4.0,2037,2225,4262,0.4779,0.5221,Pillar can see natural entrance
150,17,Abyssal Reef LE,PvT,4.1.1,4454,4120,8574,0.5195,0.4805,No pillar
151,24,Abyssal Reef LE,PvZ,4.1.1,3995,4507,8502,0.4699,0.5301,No pillar
152,31,Abyssal Reef LE,TvZ,4.1.1,4796,4629,9425,0.5089,0.4911,No pillar
153,54,Ascension to Aiur LE,PvT,4.1.1,5507,4415,9922,0.555,0.445,Pillar cannot see natural entrance
154,59,Ascension to Aiur LE,PvZ,4.1.1,4963,5791,10754,0.4615,0.5385,Pillar cannot see natural entrance
155,64,Ascension to Aiur LE,TvZ,4.1.1,5174,5339,10513,0.4922,0.5078,Pillar cannot see natural entrance
156,82,Battle on the Boardwalk LE,PvT,4.1.1,2005,1753,3758,0.5335,0.4665,No pillar
157,84,Battle on the Boardwalk LE,PvZ,4.1.1,1583,2133,3716,0.426,0.574,No pillar
158,86,Battle on the Boardwalk LE,TvZ,4.1.1,2032,2283,4315,0.4709,0.5291,No pillar
159,97,Blackpink LE,PvT,4.1.1,5396,4339,9735,0.5543,0.4457,Pillar can see natural entrance
160,102,Blackpink LE,PvZ,4.1.1,4659,5202,9861,0.4725,0.5275,Pillar can see natural entrance
161,107,Blackpink LE,TvZ,4.1.1,5351,5177,10528,0.5083,0.4917,Pillar can see natural entrance
162,133,Catalyst LE,PvT,4.1.1,5715,4917,10632,0.5375,0.4625,Pillar can see natural entrance
163,138,Catalyst LE,PvZ,4.1.1,4943,5693,10636,0.4647,0.5353,Pillar can see natural entrance
164,143,Catalyst LE,TvZ,4.1.1,5938,5508,11446,0.5188,0.4812,Pillar can see natural entrance
165,277,Neon Violet Square LE,PvT,4.1.1,3474,2969,6443,0.5392,0.4608,No pillar
166,282,Neon Violet Square LE,PvZ,4.1.1,3036,3247,6283,0.4832,0.5168,No pillar
167,287,Neon Violet Square LE,TvZ,4.1.1,3260,3412,6672,0.4886,0.5114,No pillar
168,318,Odyssey LE,PvT,4.1.1,5193,4207,9400,0.5524,0.4476,Pillar can see natural entrance
169,323,Odyssey LE,PvZ,4.1.1,4560,5257,9817,0.4645,0.5355,Pillar can see natural entrance
170,328,Odyssey LE,TvZ,4.1.1,5087,4941,10028,0.5073,0.4927,Pillar can see natural entrance
171,3,Abiogenesis LE,PvT,4.1.4,2523,2530,5053,0.4993,0.5007,Pillar can see natural entrance
172,6,Abiogenesis LE,PvZ,4.1.4,2339,2997,5336,0.4383,0.5617,Pillar can see natural entrance
173,9,Abiogenesis LE,TvZ,4.1.4,3097,3084,6181,0.5011,0.4989,Pillar can see natural entrance
174,18,Abyssal Reef LE,PvT,4.1.4,1,1,2,0.5,0.5,No pillar
175,25,Abyssal Reef LE,PvZ,4.1.4,1,0,1,1.0,0.0,No pillar
176,32,Abyssal Reef LE,TvZ,4.1.4,3,0,3,1.0,0.0,No pillar
177,33,Acid Plant LE,PvT,4.1.4,2795,2485,5280,0.5294,0.4706,Pillar can see natural entrance
